name,town,category,discontinued
Chrisfish Danmark A/S,"Langerak 45, 9900 Frederikshavn",Kho lạnh bảo quản; Nhà máy chế biến; Nhà máy chế biến sản phẩm thủy sản tươi sống,
Capri Import ApS,"Ribevej 6, 8940 Randers SV",Kho lạnh bảo quản,
GOLDEN FOODS ApS,"Nyager 4, 2605 Brøndby",Kho lạnh bảo quản,
Leziz Food ApS,"Broenge 1, 2635 Ishøj",Kho lạnh bảo quản,
Ispirazione,"Johann Gutenbergs Vej 8, 8200 Aarhus N",Kho lạnh bảo quản,
SWEETKITCHEN ENGROS ApS,"Sortevej 8, 8543 Hornslet",Cơ sở bọc màng và tái đóng gói,
Nørresundby Rederi & Shipping af 2017 A/S M/V ULLA,"Østre Havnegade 18, st tv, 9000 Aalborg SØ",Tàu lạnh (tàu chở hàng bảo quản lạnh),
Urtegaarden ApS,"Aldershvilevej 1, 8961 Allingåbro",Cơ sở bọc màng và tái đóng gói,
"Arla Foods amba Hoco , Engroslager, Jens Hvidbergs Vej 11","Jens Hvidbergs Vej 11, 7500 Holstebro",Kho lạnh bảo quản,
"KFT Jylland, Lager KBH","Jernholmen 40, 2650 Hvidovre",Kho lạnh bảo quản,
"Arla Foods Ingredients Group P/S, Danmark Protein, Engroslager","HI-Park 447, 7400 Herning",Cơ sở bọc màng và tái đóng gói,
Fuco & Giano Import,"Njalsgade 23, 2300 København S",Kho lạnh bảo quản,
Inter Dairy Food ApS,"Dalager 9, 2605 Brøndby",Kho lạnh bảo quản,
"BØNNERUP FISKERIFORENING, Kølerum","Ny Havnevej 28, 8585 Glesborg",Kho lạnh bảo quản,
"Hals Fiskeriforening, Fælles kølelager på Lodsvej 1","Lodsvej 1, 9370 Hals",Kho lạnh bảo quản,
Arla Foods amba Esbjerg Færdigvarelager (ekstern),"Alssundvej 2-4, 6705 Esbjerg Ø",Cơ sở bọc màng và tái đóng gói,
THERMO-TRANSIT Danmark A/S,"Omfartsvejen 1, 6330 Padborg",Kho lạnh bảo quản,
Gilleleje Sild,"Stæremosen 56, 3250 Gilleleje",Kho lạnh bảo quản,
Procudan A/S,"Bronzevej 1, 6000 Kolding",Cơ sở bọc màng và tái đóng gói,
Color Line Danmarks A/S - Lageret,"Niels Juelsvej 2-4, 9850 Hirtshals",Kho lạnh bảo quản,
Chr. Hansen A/S,"Jernholmen 1-27, 2650 Hvidovre",Kho lạnh bảo quản; Nhà máy chế biến,
DKK Engros,"Roholmsvej 17L, 2620 Albertslund",Kho lạnh bảo quản,
Royal-Skagen ApS,"Jennetvej 312, 9982 Ålbæk",Kho lạnh bảo quản,
Orkla Care A/S,"Industrigrenen 10-19, 2635 Ishøj",Cơ sở bọc màng và tái đóng gói,
"CAMETTE ApS, Kosttilskud","Lillebæltsvej 47, 6715 Esbjerg N",Cơ sở bọc màng và tái đóng gói,
"Mezina A/S, Kosttilskud","Energivej 4, 6700 Esbjerg",Cơ sở bọc màng và tái đóng gói,
BIOSYM A/S,"Lene Haus Vej 25, 7430 Ikast",Cơ sở bọc màng và tái đóng gói,
"IFT Denmark ApS, Stade 2028","Litauen Alle 13 2028, 2630 Taastrup",Kho lạnh bảo quản,
Fjord Logistics ApS,"Industrivej 26B, 6330 Padborg",Kho lạnh bảo quản,
HB Import ApS,"Paul Bergsøes Vej 47, 2600 Glostrup",Kho lạnh bảo quản,
Natoora Denmark ApS,"Færgehavnsvej 36, 2150 Nordhavn",Kho lạnh bảo quản,
GMPACK ApS,"Plastvænget 9, 9560 Hadsund",Cơ sở bọc màng và tái đóng gói,
EMBORG CATERING Aps,"Vardevej 1, 9220 Aalborg Øst",Kho lạnh bảo quản,
DFDS Køletransport A/S Herning,"Hedelandsvej 18, 7400 Herning",Kho lạnh bảo quản,
Lactalis Danmark A/S,"Industrivej 14-25, 3320 Skævinge",Kho lạnh bảo quản,
FiskeLogistik Gruppen,"Havnen 4, 4600 Køge",Kho lạnh bảo quản,
Sorrento Import ApS,"Meterbuen 6-12 Byg 4F, 2740 Skovlunde",Kho lạnh bảo quản,
"TEK Food ApS, Stade 2021 & 2022","Litauen Alle 13, 2630 Taastrup",Kho lạnh bảo quản,
Bornholmslinjen Lager,"Finlandsvej 5, 3700 Rønne",Kho lạnh bảo quản,
Larsen Fine Food vest,"Vejlevej 357 D, 6000 Kolding",Kho lạnh bảo quản,
NATUPHARMA A/S,"Sorøvej 26, 4291 Ruds Vedby",Cơ sở bọc màng và tái đóng gói,
SC Food ApS,"Seggelund Hovedvej 2, 6070 Christiansfeld",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
"Lin´s Trading ApS, A&K Foodservice","Prangervej 105, 7000 Fredericia",Kho lạnh bảo quản,
FiskeLogistk Gruppen,"Slagelse Landevej 131, 4241 Vemmelev",Kho lạnh bảo quản,
PBE Foods ApS,"Lundevej 7, 4030 Tune",Kho lạnh bảo quản,
Venmark Fisk A/S,"Bådehavnsgade 48, 2450 København SV",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản; Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
"JemoPharm A/S, Kosttilskud","Hasselvej 1, 4780 Stege",Cơ sở bọc màng và tái đóng gói,
BM FOOD ApS,"Hørskætten 20, 2630 Taastrup",Kho lạnh bảo quản,
THYBORØN STEVEDORE A/S,"Langholmkaj 2, 7680 Thyborøn",Kho lạnh bảo quản,
"Hao Trading Aps, Lager","Nordholmen 2, 2650 Hvidovre",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
"HARALD IVERSEN & SØN A/S, Frostlager","Havnegade 15, 7680 Thyborøn",Kho lạnh bảo quản,
1920 ApS,"Lille Strandstræde 14B, kl., 1254 København K",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Novasel EU ApS,"Skårup Tværvej 11, 5881 Skårup Fyn",Cơ sở bọc màng và tái đóng gói,
Blue Water Shipping A/S,"Oceanvej 11, 8000 Aarhus C",Kho lạnh bảo quản,
"Thai Fresh Import/Eksport ApS, Stade 2027","Litauen Alle 13, 2630 Taastrup",Kho lạnh bảo quản,
Steensgaard Ost,"Steensgaard 3, 5642 Millinge",Cơ sở bọc màng và tái đóng gói,
Jysk Firmafrugt,"Vestermarksvej 38, Kliplev, 6200 Aabenraa",Kho lạnh bảo quản,
CARL J. NIELSEN A/S,"Nyholmsvej 16, 8930 Randers NØ",Cơ sở bọc màng và tái đóng gói,
Limfjords hummer fisk og skaldyr,"Dornen 6, 7850 Stoholm Jyll",Kho lạnh bảo quản,
European Freeze Dry Aps,"Hovedgaden 2A, 4050 Skibby",Kho lạnh bảo quản; Nhà máy chế biến,
LD consulting,"Havnevej 11, 3300 Frederiksværk",Kho lạnh bảo quản,
Multimarketing Food & Packaging,"Åvænget 9, 6823 Ansager",Cơ sở bọc màng và tái đóng gói,
Skrillinge Strand Bundgarnsfiskeri,"Skrillinge Strand 22, 5500 Middelfart",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
"Arla Foods Distribution A/S, Hobro","Skivevej 39, 9500 Hobro",Kho lạnh bảo quản,
Scandic Salmon A/S,"Langholmkaj 2, 7680 Thyborøn",Kho lạnh bảo quản; Nhà máy chế biến sản phẩm thủy sản tươi sống; Nhà máy chế biến,
Ahaaa Engros ApS,"Rugvænget 46, 2630 Taastrup",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
"Dansk Farmaceutisk Industri A/S, Kosttilskud","Dam Enge 4, 3660 Stenløse",Cơ sở bọc màng và tái đóng gói,
"Kraghøjgaard Gårdbutik, Engros Frost Lager","Høgevej 3, 7700 Thisted",Kho lạnh bảo quản,
TREATMENT PHARMA ApS,"Ove Jensens Alle 35K, 8700 Horsens",Cơ sở bọc màng và tái đóng gói,
Tayyib food Lager,"Tonsbakken 3, 2740 Skovlunde",Kho lạnh bảo quản,
"CPH Food Network, Lager","Bådehavnsgade 48, 2450 København SV",Kho lạnh bảo quản,
HOUSE OF WINDSOR ApS,"Bådehavnsgade 48, 2450 København SV",Kho lạnh bảo quản,
Almega A/S,"Sleipnersvej 23, 4100 Ringsted",Cơ sở bọc màng và tái đóng gói,
ESPERIENZE Gianluca Barbisan,"Middelfartvej 63H, 5492 Vissenbjerg",Kho lạnh bảo quản,
Kotra Logistics Denmark A/S,"Hermesvej 14, 6330 Padborg",Kho lạnh bảo quản,
Green Goddess ApS,"Bøgekildevej 30N, R, P, 8361 Hasselager",Cơ sở bọc màng và tái đóng gói,
AB CATERING KØBENHAVN A/S,"Ventrupvej 18A, 2670 Greve",Kho lạnh bảo quản,
Organic Market Lager,"Roskildevej 17, 4622 Havdrup",Kho lạnh bảo quản,
Ume Asian Supermarket - Lager,"Kirstinehøj 17, 2770 Kastrup",Kho lạnh bảo quản,
BHS Logistics A/S,"Egedesvej 40, 4600 Køge",Kho lạnh bảo quản,
FS DK ApS,"Hammerholmen 43B, 2650 Hvidovre",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
OLE LARSEN TRANSPORT A/S,"Greve Main 36, 2670 Greve",Kho lạnh bảo quản,
L'Uva ApS,"Værkstedvej 67, kld., 2500 Valby",Cơ sở bọc màng và tái đóng gói; Kho lạnh bảo quản,
Arla Foods Amba Hobro Mejericenter,"Skivevej 43, 9500 Hobro",Kho lạnh bảo quản,
Den Bornholmske Gårdbutiks Leverandører,"Bjergebakkevejen 2, 3700 Rønne",Kho lạnh bảo quản,
"Jysk seafood , Engros","Peter Kaads Vej 2, 6400 Sønderborg",Kho lạnh bảo quản,
WFS Cargocenter,"Kystvejen 32, 2770 Kastrup",Kho lạnh bảo quản,
Norlin Wagyu ApS,"Jenslevvej 50, 4070 Kirke Hyllinge",Kho lạnh bảo quản,
"BRDR. KJÆR ApS IMPORT & EXPORT, Stade 2008","Litauen Alle 13, 2630 Taastrup",Kho lạnh bảo quản,
"Rønhøjgaard, Engros salg","Gunderupvej 26, 9640 Farsø",Kho lạnh bảo quản,
BJERREFISK A/S,"Gyldendalsvej 4, 9300 Sæby",Kho lạnh bảo quản; Nhà máy chế biến,
Boys Import,"Rosbjergvej 22R, 8220 Brabrand",Kho lạnh bảo quản,
Scandic Salmon Moeskjærvej,"Moeskjærvej 2, 7620 Lemvig",Kho lạnh bảo quản,
Takryma,"Vibevej 30, 4100 Ringsted",Kho lạnh bảo quản,
Interfood,"Krogsgårdsvej 6, 8620 Kjellerup",Kho lạnh bảo quản,
Jasmin-dk Import & Export,"Dalgårdsvej 17, 8220 Brabrand",Kho lạnh bảo quản,
KAJ MADSEN A/S,"Venusvej 27, 6000 Kolding",Kho lạnh bảo quản,
Tuttitalia,"Fabriksparken 23, 2600 Glostrup",Kho lạnh bảo quản,
Butcher-CPH ApS,"Kødboderne 7-9, 1717 København V",Kho lạnh bảo quản,
Mekong Lager,"Røllikevej 7, 9310 Vodskov",Kho lạnh bảo quản,
Mygross ApS,"Ribevej 6, 8940 Randers SV",Kho lạnh bảo quản,
Niels Thams ApS,"Geminivej 29, 2670 Greve",Kho lạnh bảo quản,
MyChampagne ApS,"Ørbyhage 87, 6100 Haderslev",Kho lạnh bảo quản,
"H410 Barrett, Frysecontainer","Færgevejen 2, 3390 Hundested",Kho lạnh bảo quản,
SIF Food Solutions Vestmorsvej 56,"Vestmorsvej 56, 7900 Nykøbing M",Cơ sở bọc màng và tái đóng gói,
YunExpress Denmark ApS,"Kystvejen 30, 2770 Kastrup",Kho lạnh bảo quản,
Kødbilen ApS,"Literbuen 9, 2740 Skovlunde",Kho lạnh bảo quản,
"COPENHAGEN MALMÖ PORT, FILIAL AF COPENHAGEN MALMÖ PORT AB, SVERIGE","Havvej 66, 2150 Nordhavn",Kho lạnh bảo quản,
